TFs,CvsS,MCRvsFCG
SSRP1,HOXB3,SYT4
ISL1,LOC116807524,DMRT1
BHLHE23,HOXB2,RAB3C
SP6,LOC100230707,LOC115491113
RFX6,HOXA6,MLANA
ONECUT3,OPN4,LOC121468129
CREB3,LOC115494032,SLC45A2
SATB2,HOXA7,SLC16A13
FOXA1,DCT,PCSK1
MAF,HOXA5,PTPRS
NSL1,NMNAT2,TRMT10B
NR3C2,TYRP1,MFSD14B
HNF1B,DPYSL4,SKA1
AHRR,HOXA3,FUT10
FOXS1,LOC100222387,LOC115491050
CAMTA2,CPLX2,ARSB
ETV5,C1QTNF3,MYO7A
E2F2,SLC6A1,PDE4D
ZBTB18,HOXD4,GHR
ZNF236,WDFY4,MRPL50
ZNF518A,SATB1,POC5
HOXD12,MYL10,FANCC
GRHL1,HOXA2,FBXO4
NFKB1,CACNA1D,CKS2
GMEB2,AMER2,SLC46A2
PLAG1,NPY4R2,ARHGEF39
DMBX1,LOC115496930,GNG10
HAND1,LOC100229516,RRL17
MTA2,CRABP1,LOC100219485
MBD4,ALDH1A3,KCNN2
DBX2,RSPO4,TMEM171
EVX1,HS3ST2,PPIC
SIM2,LOC100217693,MELK
VSX1,LOC100220938,KIF27
PROX1,NRSN1,CZH5orf34
ID3,LOC115495725,ARSK
ZIC4,SPOCK1,AMACR
ZBTB41,FBLN1,AK3
CREB3L3,NBEA,HINT2
ALX4,JPH3,HAUS1
LIN28A,PRUNE2,NOL6
ZBTB11,MDFI,EXOSC5
NFKB2,TAFA2,DDX58
ESR2,DIO3,CLTA
NFATC1,FAM149A,FANCG
TFCP2L1,SLC17A5,PRLR
SHOX,HPSE2,SMC2
MYCL,ALDH1L2,RNF20
GTF3A,RERGL,ADAMTSL1
NHLH2,CORIN,CBWD1
ATF1,MAB21L2,RPS23
DMRTB1,SHOX2,CREB3
FOXD2,C1H11orf87,APTX
ARID3A,CPLX1,DAB2
ZBTB17,LOC100228361,ATP5ME
NKX2-4,PAX1,RAD17
ZNF414,CRHR1,HSD17B4
ZNF217,MAB21L1,ZSWIM6
GATAD2B,LOC116808714,GNAQ
JARID2,LOC116808697,EMC4
SPIC,LOC100220049,LOC100226145
OSR2,RALYL,UBAP2
NCOA3,SHOX,ACAA2
BACH1,ASIP,MOCS2
HMGB1,PITX1,SERF1A
TAL2,PAX6,FREM1
SMAD4,TMEM163,IDUA
HMBOX1,SYPL1,HNRNPK
HMX2,,CZH18orf32
PIAS2,,PLPP1
ONECUT2,,POLR1E
TEAD1,,ARRDC3
GCFC2,,LOC116806872
OVOL2,,LOC121468354
ETV7,,LOC121468351
TAL1,,LOC116806891
HNF4G,,SNX18
