gene_id,Chuong555,Chuong557,Chuong558,Chuong559,Chuong560,Chuong561,Chuong562,Chuong564,Chuong649,Chuong651788,Chuong652791,Chuong653792,Chuong654787
LOC121470777,5,0,8,15,0,0,5,4,2,0,3,5,5
LOC121470775,17,15,44,22,21,17,20,10,9,11,17,20,17
LOC100221041,91,78,106,92,59,102,123,152,124,81,71,116,82
FILIP1L,1582,858,947,1035,708,3272,2632,1475,2710,1015,831,721,726
DCBLD2,1930,2197,2912,2195,2083,2130,2312,1563,2446,1316,1210,1473,1192
CMSS1,520,452,591,573,443,565,458,316,603,370,511,664,469
TBC1D23,2589,2323,3049,2211,1962,1966,2257,1611,1758,1287,1390,2087,1661
LNP1,0,5,0,0,0,3,2,0,2,0,0,0,2
TMEM45A,100,99,120,94,57,175,152,90,125,47,40,67,49
NIT2,1085,710,1479,1182,626,1012,1152,1212,930,886,805,937,691
TOMM70,4426,4857,5482,4142,3723,4665,4983,3634,4115,3766,3804,3970,3258
TFG,1821,2091,2398,1660,1663,2225,3092,2525,2403,2287,2504,2024,2686
LOC100222962,2651,1182,1810,1685,779,4491,5028,2935,3093,1911,1830,1275,671
NXPE3,225,207,241,197,170,359,339,193,204,81,69,103,96
SENP7,1539,997,1723,1181,902,1494,1654,1290,1206,696,625,1007,763
LOC121470173,0,0,2,0,0,0,0,0,0,0,0,0,4
TXNL4B,427,411,286,205,489,341,324,247,290,300,465,480,300
CEP97,1420,1389,1695,1128,1331,1239,1360,1292,1750,765,843,1302,884
IMPG2,9,23,40,25,15,48,52,119,109,58,39,21,22
LOC100219101,41,76,110,85,59,57,72,41,69,55,54,44,29
TRMT10C,906,728,1000,800,780,817,870,638,844,600,676,785,638
ZBTB11,1314,1026,1678,1167,759,1296,1270,1305,1614,1317,1136,1076,984
LOC100230571,1858,1841,2240,1731,1698,2131,2191,1782,2330,1355,1266,1588,1129
RPL24,11742,8751,13187,9867,8172,12193,12988,8294,9268,10809,12913,13701,9782
LOC121470429,8,7,8,12,5,14,4,4,6,0,3,4,3
ZPLD1,126,226,67,32,234,169,188,149,186,47,73,114,68
LOC121470423,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCAM,458,459,267,261,204,244,237,347,193,245,215,223,224
NFKBIZ,6660,7519,13088,7142,7462,6177,7755,9636,10317,5019,4802,5934,5083
CBLB,401,438,516,400,275,545,645,635,592,342,334,328,293
